Assay,Accuracy,Balanced Accuracy,Recall,Precision,Threshold,AUC,TP,FP,TN,FN
10_19,0.8701298701298701,0.44666666666666666,0.0,0.0,-34.46875,0.7666666666666666,0,8,67,2
10_19,0.8441558441558441,0.43333333333333335,0.0,0.0,-33.46875,0.7666666666666666,0,10,65,2
10_19,0.8441558441558441,0.43333333333333335,0.0,0.0,-32.46875,0.7666666666666666,0,10,65,2
10_19,0.8441558441558441,0.43333333333333335,0.0,0.0,-31.46875,0.7666666666666666,0,10,65,2
10_19,0.8311688311688312,0.4266666666666667,0.0,0.0,-30.46875,0.7666666666666666,0,11,64,2
10_19,0.8311688311688312,0.4266666666666667,0.0,0.0,-29.46875,0.7666666666666666,0,11,64,2
10_19,0.8311688311688312,0.4266666666666667,0.0,0.0,-28.46875,0.7666666666666666,0,11,64,2
10_19,0.8311688311688312,0.4266666666666667,0.0,0.0,-27.46875,0.7666666666666666,0,11,64,2
10_19,0.8181818181818182,0.42,0.0,0.0,-26.46875,0.7666666666666666,0,12,63,2
10_19,0.8051948051948052,0.41333333333333333,0.0,0.0,-25.46875,0.7666666666666666,0,13,62,2
10_19,0.7922077922077922,0.4066666666666667,0.0,0.0,-24.46875,0.7666666666666666,0,14,61,2
10_19,0.7922077922077922,0.4066666666666667,0.0,0.0,-23.46875,0.7666666666666666,0,14,61,2
10_19,0.7922077922077922,0.4066666666666667,0.0,0.0,-22.46875,0.7666666666666666,0,14,61,2
10_19,0.7922077922077922,0.4066666666666667,0.0,0.0,-21.46875,0.7666666666666666,0,14,61,2
10_19,0.7662337662337663,0.3933333333333333,0.0,0.0,-20.46875,0.7666666666666666,0,16,59,2
10_19,0.7662337662337663,0.3933333333333333,0.0,0.0,-19.46875,0.7666666666666666,0,16,59,2
10_19,0.7532467532467533,0.63,0.5,0.05263157894736842,-18.46875,0.7666666666666666,1,18,57,1
10_19,0.7402597402597403,0.6233333333333333,0.5,0.05,-17.46875,0.7666666666666666,1,19,56,1
10_19,0.7532467532467533,0.8733333333333333,1.0,0.09523809523809523,-16.46875,0.7666666666666666,2,19,56,0
10_19,0.7272727272727273,0.86,1.0,0.08695652173913043,-15.46875,0.7666666666666666,2,21,54,0
