,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
87,426,4616,5042,144,522,666,144,984,1128,0.96510134372177,0.01
88,594,4714,5308,144,618,762,144,1140,1284,0.760635964912281,0.01
89,716,4880,5596,144,666,810,192,1116,1308,0.921291629330944,0.001
90,674,4922,5596,144,666,810,192,1044,1236,0.936377514367816,0.01
91,474,5050,5524,144,618,762,144,1116,1260,0.96873133213859,0.01
92,528,4948,5476,144,570,714,96,1188,1284,0.977141203703704,1
93,710,3722,4432,144,618,762,144,858,1002,0.880706099456099,1
94,384,4078,4462,144,618,762,144,816,960,0.905705337690632,100000
95,426,1446,1872,96,96,192,192,492,684,0.906567581300813,1E-06
96,288,1230,1518,96,48,144,144,288,432,0.884476273148148,0.0001
97,522,4714,5236,144,498,642,144,1116,1260,0.985370619275189,1
98,522,3892,4414,96,594,690,0,960,960,0.5,0.001
99,564,4688,5252,144,666,810,192,1092,1284,0.9237303495116,0.01
100,578,4682,5260,144,546,690,192,1116,1308,0.930494885005974,0.01
101,594,4666,5260,144,666,810,192,1026,1218,0.941439246263808,0.01
102,518,3896,4414,144,618,762,186,774,960,0.933844572254175,0.001
103,530,5114,5644,144,666,810,192,1116,1308,0.924726515830346,0.01
104,654,4846,5500,144,666,810,144,1116,1260,0.95861335125448,1
105,624,3622,4246,144,618,762,48,792,840,0.993871001683502,0.01
106,516,4918,5434,144,666,810,192,1026,1218,0.923793859649123,0.01
107,426,4954,5380,144,666,810,144,1164,1308,0.978546200840015,0.01
108,806,4796,5602,192,570,762,186,1074,1260,0.904317094171122,0.001
109,378,1422,1800,48,144,192,192,540,732,0.912384259259259,1E-06
110,288,5044,5332,144,666,810,144,954,1098,0.935046878639646,100000
111,536,4874,5410,144,666,810,192,1026,1218,0.932327201104613,0.01
112,336,5194,5530,144,666,810,96,1146,1242,0.859493164630599,1
113,474,4228,4702,144,474,618,144,1050,1194,0.961666666666667,0.01
114,564,4960,5524,144,666,810,192,1026,1218,0.951185834957765,0.01
115,168,192,360,12,0,12,48,120,168,0.469618055555556,0.01
116,192,936,1128,24,42,66,72,282,354,0.456067769897557,1000
117,432,248,680,72,48,120,48,0,48,0.5,1E-06
118,360,738,1098,114,72,186,216,186,402,0.641850856232577,1
119,186,174,360,12,0,12,48,120,168,0.484027777777778,1
120,264,372,636,24,72,96,24,144,168,0.382378472222222,100000
121,426,210,636,72,24,96,48,120,168,0.637847222222222,1
122,144,240,384,24,24,48,66,72,138,0.281986531986532,1E-06
123,312,786,1098,72,114,186,192,210,402,0.40530753968254,1000000
124,402,480,882,48,120,168,24,192,216,0.999565972222222,1E-06
125,354,528,882,48,120,168,72,144,216,0.995659722222222,0.01
126,978,690,1668,186,72,258,240,144,384,0.54380787037037,1E-06
127,246,102,348,48,48,96,18,120,138,0.198611111111111,1
128,162,756,918,48,104,152,96,192,288,0.292046440972222,1000000
129,168,750,918,24,128,152,120,168,288,0.679761904761905,0.1
130,306,612,918,24,120,144,48,168,216,0.219742063492063,1
131,474,480,954,48,0,48,72,0,72,0.219742063492063,1
132,570,384,954,24,24,48,24,48,72,0.572048611111111,100
133,192,732,924,144,96,240,144,288,432,0.990620177469136,1E-06
134,240,264,504,96,96,192,192,144,336,0.779730902777778,100
135,240,798,1038,144,144,288,144,144,288,0.40673225308642,1
136,426,708,1134,192,96,288,240,48,288,0.630989583333333,0.01
137,288,588,876,144,48,192,240,192,432,0.714670138888889,1000
138,468,666,1134,144,144,288,240,48,288,0.753385416666666,0.01
139,426,708,1134,144,144,288,192,96,288,0.317003038194444,1
140,378,708,1086,144,96,240,192,96,288,0.494683159722222,1
141,792,648,1440,96,48,144,288,432,720,0.837962962962963,1E-06
142,522,516,1038,144,144,288,240,48,288,0.630642361111111,1E-06
143,426,612,1038,96,192,288,144,144,288,0.538628472222222,10000
144,192,732,924,144,96,240,144,288,432,0.990620177469136,1E-06
145,192,732,924,192,48,240,144,288,432,0.990885416666667,1E-06
146,10728,4093,14821,1212,468,1680,2982,958,3940,0.657177581844582,1
147,552,1728,2280,96,426,522,96,504,600,0.800760582010582,1000
148,444,816,1260,48,192,240,0,96,96,0.5,1E-06
149,1350,2178,3528,114,378,492,594,570,1164,0.574017957351291,0.01
150,168,1314,1482,42,306,348,24,276,300,0.814915458937198,1E-06
151,1452,1260,2712,192,144,336,240,372,612,0.74910394265233,0.01
152,828,240,1068,144,138,282,138,240,378,0.736246980676329,10000
153,4788,1399,6187,690,165,855,1326,360,1686,0.742825121501592,100
154,26310,9265,35575,3921,1146,5067,6591,2610,9201,0.648085366612198,0.01
155,2544,1710,4254,282,282,564,672,468,1140,0.639359483109483,100
156,10864,6286,17150,1428,708,2136,2946,1278,4224,0.609679765247592,0.1
157,1494,9217,10711,120,1518,1638,522,2178,2700,0.711904837296687,100000
158,5766,1752,7518,804,318,1122,1560,456,2016,0.773536605937922,10000
159,972,786,1758,138,48,186,456,144,600,0.958485623781676,1
160,17194,33884,51078,2024,5051,7075,4496,9238,13734,0.709642628621222,0.1
161,1334,33974,35308,186,4377,4563,417,9065,9482,0.583320040051798,0.01
162,3492,29614,33106,612,4337,4949,810,8376,9186,0.534603865246973,0.1
163,162,4383,4545,96,696,792,72,1014,1086,0.48657681349989,100
164,3612,11425,15037,486,1410,1896,858,3504,4362,0.638492072995498,0.1
165,1350,1272,2622,276,336,612,279,468,747,0.536355420764023,0.1
166,1554,2724,4278,144,504,648,384,666,1050,0.57103587962963,100000
167,2082,31015,33097,132,3930,4062,610,8408,9018,0.634478287657344,1E-05
168,2616,666,3282,402,90,492,771,240,1011,0.699616299178556,1
169,1134,710,1844,96,48,144,210,156,366,0.772344322344322,0.01
170,16069,31566,47635,1992,4704,6696,4752,8112,12864,0.78367947638781,1
171,3338,4548,7886,381,330,711,762,1158,1920,0.811729654259539,1
172,1158,882,2040,324,96,420,426,192,618,0.571865219092332,1
173,1818,1674,3492,234,234,468,360,738,1098,0.542122101776573,0.1
174,299,300,599,24,90,114,162,168,330,0.593290711346267,1E-06
175,9437,4290,13727,1146,666,1812,2476,1074,3550,0.821420459502471,0.1
176,366,6325,6691,48,780,828,48,1572,1620,0.802838740458015,1E-06
177,6577,1926,8503,986,156,1142,2172,594,2766,0.571706165398615,1E-06
178,894,6462,7356,96,1206,1302,147,1590,1737,0.642335173062936,1E-06
179,9080,1512,10592,1458,324,1782,2916,450,3366,0.749355281207133,100
180,816,684,1500,144,96,240,168,96,264,0.477616567460317,0.1
181,5306,11267,16573,840,1122,1962,1560,2970,4530,0.878573556073556,1
182,3240,3518,6758,270,582,852,994,1128,2122,0.911213736318621,1
183,4248,11296,15544,273,1400,1673,1080,2778,3858,0.703086419753087,0.01
184,1446,384,1830,192,24,216,273,48,321,0.801663614163614,100000
185,4190,2238,6428,708,210,918,1194,600,1794,0.788726968174204,1
186,456,29588,30044,108,3951,4059,48,8454,8502,0.466862333412191,1E-06
187,570,312,882,48,0,48,144,192,336,0.532877604166667,1E-06
188,720,3492,4212,48,552,600,108,882,990,0.762419165196943,1
189,696,888,1584,96,0,96,192,96,288,0.73583984375,1
190,40932,300,41232,6622,48,6670,12002,48,12050,0.643920457701494,1
191,33662,462,34124,5356,72,5428,10151,72,10223,0.824586247660329,0.1
192,4080,2747,6827,780,486,1266,1374,780,2154,0.564728660471018,100000
193,372,3287,3659,120,594,714,114,1176,1290,0.710227950829455,1
194,642,240,882,48,0,48,144,120,264,0.44837962962963,1
195,1644,690,2334,168,24,192,564,186,750,0.743536948066804,1
196,504,1332,1836,144,186,330,96,396,492,0.533012415824916,100
197,492,17166,17658,120,2523,2643,96,4940,5036,0.60827850877193,0.1
198,4284,1596,5880,588,240,828,1470,480,1950,0.857874149659864,0.1
199,138,474,612,96,96,192,276,186,462,0.618980832164563,1
200,6862,588,7450,1026,24,1050,1569,216,1785,0.585035880367302,100000
201,1590,1122,2712,72,96,168,582,168,750,0.787524545900835,0.01
202,1638,14242,15880,264,2199,2463,408,4542,4950,0.517415883130002,1000
203,1128,1674,2802,186,192,378,258,434,692,0.557308970099668,0.0001
204,6666,2970,9636,852,372,1224,2532,858,3390,0.818942708160718,10000
205,282,930,1212,96,180,276,66,253,319,0.501557072703318,0.01
206,330,384,714,42,24,66,72,96,168,0.506510416666667,1E-06
207,1734,384,2118,324,48,372,864,336,1200,0.79296875,0.1
208,4021,23786,27807,426,3282,3708,1034,6276,7310,0.812129779960625,1
209,,,,,,,,,,0.712678670306503,
