,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
199,276,570,846,138,48,186,96,138,234,0.490715579710145,100
200,6226,528,6754,1236,48,1284,1995,252,2247,0.646433544177905,100
201,1464,870,2334,96,138,234,684,378,1062,0.685103963612736,1
202,1692,14927,16619,192,2134,2326,426,3922,4348,0.645021582837156,100
203,1020,1472,2492,168,264,432,384,564,948,0.535742649231678,0.01
204,7092,2910,10002,954,522,1476,2004,768,2772,0.852207044244844,100
205,396,973,1369,0,132,132,48,258,306,0.734253875968992,100
206,330,312,642,24,72,96,90,120,210,0.464074074074074,100
207,2034,528,2562,336,96,432,552,144,696,0.76995269726248,100
208,3669,23033,26702,516,3502,4018,1296,6809,8105,0.794536416036147,1
209,,,,,,,,,,0.707119068377078,
