Feature Set,Fold,Task,AUC,Optimal Threshold,Optimal Kappa,Kappa,Kappa @ 0.50,Balanced Accuracy,AUCPR,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Total Actives Train,Total Inactives Train,Total Compounds Train,Total Actives Test,Total Inactives Test,Total Compounds Test,Scrambled Kappa,Scrambled Balanced Accuracy
CellCount,3,CHEMBL5291782,0.6312500000000001,0.494949494949495,0.19941348973607043,0.3973509933774835,0.3973509933774835,0.6875,0.5744190131053941,0.5,0.875,0.4113063728303113,5,14,2,5,20,32,52,10,16,26,-0.3208556149732622,0.3125
CellProfiler,1,CHEMBL5291782,0.6749999999999999,0.5757575757575758,0.30604982206405684,-0.07518796992481214,-0.07518796992481214,0.46875,0.4920756363519521,0.0,0.9375,-0.15811388300841897,0,15,1,10,20,32,52,10,16,26,0.08917197452229297,0.54375
CellProfiler,2,CHEMBL5291782,0.5625,0.42424242424242425,0.3076923076923077,0.08917197452229297,0.193103448275862,0.54375,0.4452243744387707,0.4,0.6875,0.08947924869885988,4,11,5,6,20,32,52,10,16,26,0.04411764705882337,0.51875
CellProfiler,3,CHEMBL5291782,0.6281249999999999,0.4747474747474748,0.2754098360655737,0.2547770700636942,0.1558441558441559,0.625,0.5759674847146243,0.5,0.75,0.2556549962824568,5,12,4,5,20,32,52,10,16,26,0.12030075187969913,0.55
CellCount,1,CHEMBL5291809,0.5,0.0,0.0,0.0,0.0,0.5,0.7096774193548387,1.0,0.0,0.0,13,0,18,0,26,36,62,13,18,31,0.0,0.5
CellCount,2,CHEMBL5291809,0.5,0.0,0.0,0.0,0.0,0.5,0.7096774193548387,1.0,0.0,0.0,13,0,18,0,26,36,62,13,18,31,0.0,0.5
CellCount,3,CHEMBL5291809,0.42307692307692313,0.5050505050505051,0.14087759815242495,-0.15887850467289732,-0.2170900692840645,0.4273504273504274,0.35292258584190545,0.07692307692307693,0.7777777777777778,-0.19493925957690475,1,14,4,12,26,36,62,13,18,31,0.0,0.5
CellProfiler,1,CHEMBL5291809,0.5641025641025641,0.0,0.0,0.0,0.11037527593818985,0.5,0.5378293322475167,1.0,0.0,0.0,13,0,18,0,26,36,62,13,18,31,0.15068493150684936,0.5705128205128205
CellProfiler,2,CHEMBL5291809,0.4829059829059829,0.38383838383838387,0.08464566929133854,-0.09842519685039375,0.09029345372460484,0.4465811965811966,0.4538786383694797,0.6153846153846154,0.2777777777777778,-0.11277749207515975,8,5,13,5,26,36,62,13,18,31,-0.04966139954853288,0.47649572649572647
CellProfiler,3,CHEMBL5291809,0.46153846153846156,0.38383838383838387,0.2805247225025227,-0.03765690376569042,0.047281323877068515,0.4807692307692308,0.48687593421133946,0.46153846153846156,0.5,-0.0379777262656375,6,9,9,7,26,36,62,13,18,31,0.18777292576419213,0.5918803418803419
CellCount,1,CHEMBL5291815,0.4135338345864662,0.6666666666666667,0.06052631578947376,-0.13592233009708732,0.02010050251256279,0.4473684210526316,0.21490667482581413,0.0,0.8947368421052632,-0.17521916101261562,0,17,2,7,14,37,51,7,19,26,-0.02877697841726623,0.4849624060150376
