,Task,Fold,Cel_counter_model
151,47,2.0,0.6666666666666667
152,48,2.0,0.0
153,49,2.0,0.3
154,5,2.0,0.6428571428571428
155,50,2.0,0.4666666666666667
156,51,2.0,0.24999999999999997
157,52,2.0,0.6875
158,53,2.0,0.5483870967741935
159,54,2.0,0.3466666666666667
160,55,2.0,0.46
161,56,2.0,0.467741935483871
162,57,2.0,0.5517241379310345
163,58,2.0,0.3910256410256411
164,59,2.0,0.603448275862069
165,6,2.0,0.3968253968253968
166,60,2.0,0.421875
167,61,2.0,0.5603448275862069
168,62,2.0,0.4597701149425287
169,63,2.0,0.46285714285714286
170,64,2.0,0.859375
171,65,2.0,0.5591397849462365
172,66,2.0,0.496551724137931
173,67,2.0,0.625
174,68,2.0,0.31666666666666665
175,69,2.0,0.4533333333333333
176,7,2.0,0.5
177,70,2.0,0.5666666666666667
178,71,2.0,0.5161290322580645
179,72,2.0,0.7037037037037037
180,73,2.0,0.4672619047619047
181,74,2.0,0.37499999999999994
182,75,2.0,0.5053763440860214
183,76,2.0,0.47311827956989244
184,77,2.0,0.45925925925925926
185,78,2.0,0.33783783783783783
186,79,2.0,0.40909090909090906
187,8,2.0,0.6428571428571428
188,80,2.0,0.6000000000000001
189,81,2.0,0.42500000000000004
190,82,2.0,0.4354838709677419
191,83,2.0,0.7419354838709677
192,84,2.0,0.603448275862069
193,85,2.0,0.42857142857142855
194,86,2.0,0.5
195,87,2.0,0.4351851851851852
196,88,2.0,0.55
197,89,2.0,0.5083333333333333
198,9,2.0,0.6777777777777778
199,90,2.0,0.49333333333333335
200,91,2.0,0.3693693693693693
201,92,2.0,0.5161290322580645
202,93,2.0,0.3833333333333333
203,94,2.0,0.3194444444444444
204,95,2.0,0.47018678160919536
205,96,2.0,0.8181818181818181
206,97,2.0,0.75
207,98,2.0,0.47311827956989244
208,99,2.0,0.36
