PUMA_ASSAY_ID,roc_auc,balanced_acc,precision,recall,auprc,f1_score,auprg
110_397,0.4234012515262515,0.5132097069597069,0.08703007518796993,0.375,0.1607741608106597,0.14070048309178743,-0.006705854152267345
110_398,0.5313670204924075,0.6155526684357954,0.1507117882117882,0.9,0.18484122788381419,0.2539966310704297,0.0252596391092915
110_399,0.5690661416354523,0.5057685880391457,0.07666666666666666,0.29999999999999993,0.150097439110597,0.1211111111111111,0.032882274344735646
110_400,0.7036967418546366,0.6128446115288221,0.07792207792207792,0.5,0.12536181139122315,0.1346153846153846,0.030129528098502268
110_401,0.48289733742959545,0.41528161802355346,0.0724310776942356,0.17,0.14269238752248342,0.09586020386935719,-0.005009566473401638
111_402,0.8612962962962964,0.7699074074074074,0.2733333333333333,0.7833333333333333,0.7240873015873015,0.36380952380952375,0.1776408012737414
112_406,0.4583333333333333,0.6458333333333334,0.27777777777777773,1.0,0.5,0.42857142857142855,-0.06481481481481481
113_407,0.75,0.70625,0.5416666666666666,0.9375,0.7482142857142857,0.65,-0.034399801587301576
114_408,0.6875,0.59375,0.25,1.0,0.5833333333333334,0.39285714285714285,-0.013888888888888888
116_411,0.5475627240143369,0.5131254480286739,0.1071264367816092,0.72,0.2794431922155708,0.17644112653550384,0.0020735958748593266
116_412,0.5772772366522366,0.6088654401154401,0.11971988795518207,0.9,0.22112516138831925,0.2079360165118679,0.0210414119334398
116_413,0.4955357142857143,0.4642857142857143,0.1,0.25,0.36111111111111116,0.14285714285714285,-0.012152777777777783
116_415,0.6070707070707072,0.5499999999999999,0.2738095238095238,0.6,0.4468783068783069,0.35555555555555557,0.027782587782587784
116_416,0.3338383838383838,0.454040404040404,0.18308080808080807,0.6666666666666666,0.22751322751322747,0.2846153846153846,-0.05842190217190218
116_420,0.6019607843137255,0.7174019607843137,0.1388888888888889,1.0,0.19047619047619047,0.2350877192982456,0.023809523809523808
116_421,0.3544973544973545,0.37023809523809526,0.037037037037037035,0.1111111111111111,0.12707400624067292,0.05555555555555555,-0.02989333197666531
116_424,0.7314814814814814,0.7407407407407408,0.1759259259259259,0.8888888888888888,0.24215167548500882,0.2888888888888889,0.05179654032853207
116_425,0.1842105263157895,0.43146929824561403,0.06666666666666667,0.3333333333333333,0.10381836945304439,0.1111111111111111,-0.021402362114436413
116_426,0.4045707405769326,0.4634416924664603,0.07414565826330533,0.5833333333333333,0.15734008479924994,0.12966374269005848,-0.0028844223016583404
116_427,0.42810075225545124,0.37617638549146476,0.08666666666666667,0.16666666666666666,0.20588223070259684,0.1130952380952381,-0.018672739999172176
117_429,0.7458333333333333,0.7460714285714285,0.4142424242424242,0.8714285714285716,0.6511107313738893,0.5446491228070175,0.24652410364326025
117_430,0.7604636591478697,0.7827224310776942,0.21856060606060604,1.0,0.37133838383838386,0.35000000000000003,0.07935213940648722
118_432,0.8039565826330533,0.7864845938375349,0.41666666666666663,0.8333333333333333,0.6183531746031746,0.5095238095238095,0.1813852813852814
118_434,0.5380952380952381,0.5773809523809523,0.5,0.5666666666666667,0.615,0.49333333333333335,0.0027182539682539695
12_23,0.7632142857142857,0.6911904761904764,0.5316666666666666,0.7333333333333333,0.7244444444444444,0.6116239316239316,0.20054563492063493
13_24,0.756547619047619,0.6645238095238095,0.5316666666666666,0.7,0.7244444444444444,0.5982905982905983,0.2039186507936508
134_477,0.0,0.35416666666666663,0.0,0.0,0.13846153846153847,0.0,-0.06923076923076923
14_25,0.8357142857142857,0.7293956043956044,0.4716666666666667,0.8333333333333333,0.7985714285714286,0.5871794871794871,0.22999999999999998
143_495,0.6252380952380953,0.5743849206349206,0.30787878787878786,0.5866666666666667,0.39816233766233766,0.3841575091575091,0.06226122905302471
145_497,0.6527777777777778,0.5208333333333333,0.27142857142857146,0.75,0.43749999999999994,0.3968253968253968,0.04153138528138528
15_26,0.9052287581699345,0.7450980392156863,0.31666666666666665,1.0,0.6388888888888888,0.443939393939394,0.2228835978835979
153_510,0.85,0.725,0.15476190476190477,1.0,0.625,0.26785714285714285,0.017045454545454544
154_511,0.9259259259259259,0.7962962962962963,0.47222222222222227,1.0,0.8055555555555555,0.5619047619047618,0.17297979797979793
16_27,0.7208624708624709,0.6388548951048951,0.36875,0.6875,0.6212003968253967,0.46969696969696967,0.21169146825396823
167_539,0.7113636363636363,0.7806818181818181,0.3095238095238095,1.0,0.36428571428571427,0.4537037037037037,0.07128427128427128
167_538,0.7113636363636363,0.7806818181818181,0.3095238095238095,1.0,0.36428571428571427,0.4537037037037037,0.07128427128427128
168_541,0.7222222222222222,0.7361111111111112,0.15476190476190477,1.0,0.29166666666666663,0.26785714285714285,0.08237179487179486
168_542,0.5728594322344323,0.6391082875457875,0.20277777777777778,0.75,0.268524531024531,0.29567099567099564,0.022478599616757515
168_543,0.6618589743589743,0.6927083333333334,0.29305555555555557,0.8333333333333333,0.36041666666666666,0.40800865800865804,0.09534774436090226
169_544,0.7610683760683761,0.735491452991453,0.2871328671328671,0.9333333333333333,0.40388888888888885,0.4247619047619048,0.08196608946608946
169_545,0.7312324929971988,0.7021942110177404,0.16356643356643358,0.9,0.3883333333333333,0.27267399267399267,0.028510101010101013
169_548,0.5392857142857143,0.6142857142857143,0.15291375291375292,0.8333333333333334,0.1886243386243386,0.25811965811965815,0.000280506530506532
169_549,0.8106309523809523,0.7168253968253968,0.5641958041958042,0.8422222222222222,0.7603052503052504,0.6319298245614036,0.30014994264994266
170_550,0.5726190476190476,0.6300595238095238,0.1746031746031746,0.75,0.26875,0.27840909090909094,0.02449786732874968
170_551,0.07142857142857145,0.1450892857142857,0.0,0.0,0.06787330316742082,0.0,-0.028808446455505277
174_555,0.7472222222222222,0.8486111111111111,0.22777777777777777,1.0,0.24206349206349206,0.36060606060606065,0.054788359788359796
177_585,0.6034066251521182,0.5506347816979382,0.01171584453771774,0.6770833333333334,0.03804189940294445,0.02289515876009892,0.011982890929717261
178_591,0.8333333333333334,0.8444444444444444,0.23809523809523808,1.0,0.5833333333333334,0.375,0.010416666666666664
178_684,0.6527712505384559,0.5968123796097193,0.10637054178893098,0.5426794258373205,0.3137993568004065,0.1772222222222222,0.18911199808160858
179_659,0.5927111563469929,0.5882166815819662,0.009155411590370123,0.6,0.015412450268597572,0.017993442798503814,0.0035828275006010457
18_29,0.9553571428571428,0.8630952380952381,0.5895833333333333,1.0,0.8777777777777778,0.7101648351648351,0.28404017857142855
180_686,0.6524967619110786,0.6397022815272836,0.1456203796203796,0.6398712398712398,0.19488079850452805,0.23549198560605542,0.07684741396888488
181_599,0.7277777777777779,0.8361111111111111,0.3444444444444444,1.0,0.38888888888888884,0.5,0.046581196581196575
183_604,0.6634329177065895,0.5876649820719024,0.08037012103531999,0.5451587301587301,0.2575374812048551,0.1371440431714404,0.1358247972296653
184_606,0.7828549819043912,0.6888457660939619,0.1650568639941615,0.7003147747393272,0.4753473054950604,0.2653666499154318,0.3286471047542933
185_665,0.47900792426731276,0.46964829510508393,0.02892798546420968,0.35238095238095235,0.08715823900757853,0.053398929754296644,0.035032072568389146
