,Task,Fold,AUC_ROC,AUC_PR,Test_Set_Length,Num_Actives,Num_Inactives
187,253_729,2.0,0.6031932773109243,0.1006321954989987,309.0,17.0,287.0
188,254_730,2.0,0.9203187250996016,0.2603314256113528,367.0,4.0,360.0
189,257_735,2.0,0.5411153472377963,0.1282818455000441,378.0,39.0,337.0
190,258_736,2.0,0.4105461393596987,0.0112218624311824,370.0,3.0,368.0
191,259_737,2.0,0.4725194552529183,0.0051412474111273,1462.0,8.0,1457.0
192,25_36,2.0,0.375,0.33333333333333326,7.0,2.0,5.0
193,260_738,2.0,0.5522675534316677,0.06991041408793,2452.0,101.0,2354.0
194,261_739,2.0,0.5918322709661292,0.0949424242229901,943.0,54.0,889.0
195,262_740,2.0,0.6657678479712379,0.0685331549941757,415.0,9.0,408.0
196,263_741,2.0,0.5511811023622047,0.1074976733781764,382.0,24.0,348.0
197,264_742,2.0,0.679022687609075,0.0121261946350286,2886.0,6.0,2876.0
198,265_743,2.0,0.5512646978397593,0.087846121847305,2596.0,150.0,2438.0
199,266_744,2.0,0.5401474252491695,0.0326372685392734,1519.0,32.0,1487.0
200,267_745,2.0,0.6546235339822136,0.0615919317673911,1667.0,45.0,1637.0
201,268_746,2.0,0.5933393529547376,0.0477340714193506,2454.0,84.0,2372.0
202,269_747,2.0,0.5551698853464366,0.0522884687685976,3022.0,110.0,2901.0
203,26_37,2.0,0.1666666666666666,0.1666666666666666,7.0,0.0,7.0
204,270_748,2.0,0.5618080565559557,0.0180979127976642,2877.0,22.0,2861.0
205,271_749,2.0,0.5027612201963534,0.1761399156057281,333.0,47.0,281.0
206,272_750,2.0,0.4946262322015334,0.0338364380789049,619.0,15.0,604.0
207,273_751,2.0,0.5138888888888888,0.029504991218463,373.0,9.0,360.0
208,274_752,2.0,0.4629427757970606,0.0113051710004719,3024.0,21.0,3002.0
209,275_753,2.0,0.8601532567049808,0.4815958815958816,267.0,6.0,261.0
210,275_754,2.0,0.5382924288384349,0.0110790693430885,2994.0,22.0,2972.0
211,276_755,2.0,0.4685269627279936,0.0109222368519312,2542.0,26.0,2508.0
