Fold,Task,AUC
0,177_585,0.5419303797468354
0,178_591,
0,178_684,0.7399936968168925
0,179_659,0.7639821029082774
0,18_29,0.7678571428571428
0,180_686,0.7547169811320755
0,181_599,1.0
0,181_600,1.0
0,183_604,0.7094202898550726
0,184_606,0.78341384863124
0,185_665,0.6364365971107544
0,185_666,0.5798022598870056
0,185_667,
0,186_668,0.8382092198581561
0,186_669,0.8618421052631579
0,187_618,
0,187_619,
0,19_30,0.9583333333333333
0,190_628,0.594980694980695
0,190_629,0.6332070707070707
0,190_674,0.4339869281045752
0,191_630,0.5859862671660424
0,191_631,0.5728544776119403
0,191_675,0.5841584158415842
0,192_635,0.888888888888889
0,193_723,0.8030303030303031
0,194_639,0.4811344644213725
0,194_678,0.6292397660818714
0,195_642,0.5379852345796619
0,196_644,0.8930232558139535
0,197_645,0.5926011029411764
0,197_646,0.7295751633986928
0,197_647,0.7222222222222222
0,197_648,1.0
0,197_649,0.5826567749160134
0,197_650,0.5621601208459214
0,197_651,0.576328502415459
0,198_682,0.7971225757383699
0,199_657,0.5638057103064067
0,200_658,
0,201_660,0.9850746268656716
0,202_661,0.9657863145258103
0,203_662,0.3346920289855072
0,204_663,0.1324324324324324
0,205_664,0.6715708812260537
0,206_670,0.49710982658959535
0,206_671,0.40713587487781033
0,207_672,0.6203781512605041
0,208_673,0.5947162426614482
0,209_676,0.7611336032388664
0,21_32,
0,210_677,0.5413752913752914
0,212_680,0.2733333333333334
0,213_681,0.4114528101802757
0,214_683,0.5628491620111732
0,215_685,0.761904761904762
0,216_687,0.4938666666666667
0,217_688,0.6737074176801081
0,217_689,0.7456876456876457
0,219_691,0.44440700808625344
0,220_692,0.545007453979777
0,221_693,0.63396546635183
0,223_695,0.4764397905759163
0,224_696,0.5169054801407742
0,225_697,0.5520833333333333
0,227_699,0.5810085836909872
0,228_700,0.6002906976744186
0,229_701,0.6110166338948824
0,23_34,0.25
0,230_702,0.5279494382022472
0,231_703,0.6767725467952354
0,232_704,0.6670307750759878
0,232_705,0.6971614227086183
0,233_706,0.5130778588807786
0,234_707,0.615976598274943
0,235_708,0.6880628616799834
0,236_709,0.672265625
0,237_710,0.5956531845653183
0,237_711,0.5935828877005347
0,238_712,0.6183842869464187
0,239_713,0.5123675641724931
0,24_35,
0,240_714,0.6484593399257312
0,241_715,0.6157079032079033
0,242_716,0.5221879034731683
0,243_717,0.5742245699580117
0,244_718,0.5854280510018215
0,245_719,0.5106773823191734
0,246_720,0.7109432913269089
0,247_721,0.5011614401858304
0,248_722,0.4964351851851852
0,249_724,0.4897405236318893
0,25_36,
0,250_725,
0,250_726,0.7602627257799671
0,251_727,0.4957748398528009
0,253_729,0.5966107063668039
