,Task,Fold,AUC
64,134_476,2.0,0.0
65,134_477,2.0,1.0
66,135_479,2.0,0.0
67,13_24,2.0,0.7142857142857143
68,143_495,2.0,0.6190476190476191
69,145_497,2.0,0.701388888888889
70,14_25,2.0,0.9076923076923077
71,153_510,2.0,0.5
72,154_511,2.0,0.8888888888888888
73,15_26,2.0,0.8333333333333334
74,160_519,2.0,0.6071428571428572
75,167_538,2.0,0.625
76,167_539,2.0,0.7
77,168_541,2.0,0.6805555555555556
78,168_542,2.0,0.34523809523809523
79,168_543,2.0,0.75
80,169_544,2.0,0.8
81,169_545,2.0,0.5238095238095238
82,169_548,2.0,0.7
83,169_549,2.0,0.8541666666666667
84,16_27,2.0,0.8712121212121212
85,170_550,2.0,0.6833333333333333
86,170_551,2.0,0.07142857142857145
87,174_555,2.0,0.7
88,175_559,2.0,0.375
89,175_561,2.0,0.25
90,177_585,2.0,0.46503152088258465
91,178_591,2.0,0.32222222222222224
92,178_684,2.0,0.7280251141552512
93,179_659,2.0,0.7639821029082774
94,17_28,2.0,0.16666666666666663
95,180_686,2.0,0.5920959774170784
96,181_599,2.0,1.0
97,181_600,2.0,1.0
98,183_604,2.0,0.5797155688622755
99,184_606,2.0,0.78341384863124
100,185_665,2.0,0.56640625
101,185_666,2.0,0.6226737967914439
102,185_667,2.0,0.3013698630136986
103,186_668,2.0,0.7264150943396226
104,186_669,2.0,0.8966480446927374
105,187_618,2.0,0.5446428571428571
106,187_619,2.0,0.7739234449760766
107,18_29,2.0,0.8839285714285714
108,190_628,2.0,0.5950495049504951
109,190_629,2.0,0.6332070707070707
110,190_674,2.0,0.46833053691275167
111,191_630,2.0,0.4912108001687526
112,191_631,2.0,0.45565149136577715
113,191_675,2.0,0.5280167079207921
114,192_635,2.0,0.8777777777777778
115,193_723,2.0,0.6083535108958837
116,194_639,2.0,0.5510144927536231
117,194_678,2.0,0.47326732673267324
118,195_642,2.0,0.5042430086788814
119,196_644,2.0,0.6449771689497718
120,197_645,2.0,0.5615354174910963
121,197_646,2.0,0.6013605442176871
122,197_647,2.0,0.5576923076923077
123,197_648,2.0,1.0
124,197_649,2.0,0.5826567749160134
125,197_650,2.0,0.5713302566593799
126,197_651,2.0,0.7320143884892086
127,198_682,2.0,0.6985006815084053
128,199_657,2.0,0.5638057103064067
129,19_30,2.0,0.8541666666666666
130,1_1,2.0,0.8285714285714286
131,200_658,2.0,1.0
132,201_660,2.0,0.9426448170731707
