assay,best_C,val_auc,test_auc,split
152,1e-06,0.6666666666666667,0.6000000000000001,split1
153,1e-06,1.0,1.0,split1
154,1e-06,0.8010204081632653,0.6700680272108844,split1
155,1e-06,0.5073717948717948,0.4879841673734803,split1
156,1e-06,0.4285714285714286,0.78,split1
157,1e-06,0.6019345238095238,0.5449424591156875,split1
158,1e-06,0.5336134453781513,0.4623015873015873,split1
159,1e-06,0.4602272727272727,0.6340615690168818,split1
160,1e-06,0.75,0.6888888888888889,split1
161,1e-06,0.5791849196867118,0.566392694063927,split1
162,1e-06,0.555327868852459,0.588639301874596,split1
163,1e-06,0.5610056258790436,0.5209721851950591,split1
164,1e-06,0.54,0.530701754385965,split1
165,1e-06,0.5468594217347955,0.57546768707483,split1
166,1e-06,0.2272727272727273,0.5952380952380953,split1
167,1e-06,0.7466666666666667,0.6322314049586777,split1
168,1e-06,0.6850828729281768,0.7603255587949465,split1
169,1e-06,0.41666666666666674,0.41666666666666663,split1
170,1e-06,0.8571428571428572,0.7916666666666667,split1
171,1e-06,0.6723176612417119,0.6519768786127169,split1
172,1e-06,0.7673796791443851,0.7872023809523809,split1
173,1e-06,0.6875,0.5714285714285714,split1
174,1e-06,0.5625,0.6666666666666666,split1
175,1e-06,1.0,0.25,split1
176,1e-06,0.6691542288557215,0.7100764732343681,split1
177,1e-06,0.5714285714285714,0.7401315789473685,split1
178,1e-06,0.6214285714285714,0.525462962962963,split1
179,1e-06,0.7619047619047619,0.5903846153846154,split1
180,1e-06,0.6377551020408163,0.6566666666666666,split1
181,1e-06,0.2,0.0,split1
182,1e-06,0.7627906976744186,0.8042199930819786,split1
183,1e-06,0.8766666666666666,0.8424908424908425,split1
184,1e-06,0.6917808219178082,0.5967741935483871,split1
185,1e-06,0.6060606060606061,0.631578947368421,split1
186,1e-06,0.7291666666666667,0.8587962962962964,split1
187,1e-06,0.5218150087260035,0.7688821752265861,split1
189,1e-06,0.22222222222222227,0.6875,split1
190,1e-06,0.25,0.625,split1
192,1e-06,0.6149425287356322,0.8271676300578035,split1
193,1e-06,0.44780219780219777,0.4053109713487072,split1
194,1e-06,0.6666666666666666,0.4418604651162791,split1
196,1e-06,0.8,0.8611111111111112,split1
197,1e-06,0.3,0.5078125,split1
198,1e-06,0.5679245283018868,0.6728395061728394,split1
199,1e-06,0.5952380952380952,0.5490909090909092,split1
201,1e-06,0.9199999999999999,0.5714285714285714,split1
202,1e-06,1.0,0.7959866220735785,split1
203,1e-06,0.5833333333333334,0.45418552036199095,split1
204,1e-06,0.5892857142857143,0.48333333333333334,split1
205,1e-06,0.5818181818181818,0.6771545827633378,split1
208,1e-06,0.7857142857142857,0.8055555555555556,split1
209,1e-06,0.7714970880438506,0.7676066072292488,split1
1,1e-06,0.38095238095238093,0.7142857142857142,split2
2,1e-06,0.5714285714285714,0.7578947368421053,split2
3,1e-06,0.5625,0.45614035087719296,split2
4,1e-06,0.6,0.8461538461538461,split2
5,1e-06,0.22222222222222224,0.7666666666666667,split2
6,1e-06,0.4791666666666667,0.8222222222222223,split2
7,1e-06,0.125,0.5,split2
8,1e-06,0.25,1.0,split2
9,1e-06,0.5750000000000001,0.41304347826086957,split2
10,1e-06,0.5,0.5333333333333332,split2
11,1e-06,0.6739130434782609,0.734375,split2
12,1e-06,0.4661654135338346,0.4725274725274725,split2
13,1e-06,0.7777777777777778,0.6153846153846154,split2
14,1e-06,0.5,0.44,split2
15,1e-06,0.6,0.2857142857142857,split2
16,1e-06,0.5833333333333334,0.18181818181818177,split2
17,1e-06,0.23076923076923073,0.375,split2
18,1e-06,0.72,0.421875,split2
19,1e-06,0.8333333333333334,0.5238095238095238,split2
20,1e-06,0.5111111111111111,0.44705882352941173,split2
21,1e-06,0.6,0.8461538461538461,split2
22,1e-06,0.8333333333333334,0.625,split2
23,1e-06,0.35,0.54421768707483,split2
24,1e-06,0.5803571428571429,0.43571428571428567,split2
25,1e-06,1.0,0.9365079365079365,split2
26,1e-06,0.4285714285714286,0.75,split2
27,1e-06,0.5568181818181818,0.5722222222222222,split2
28,1e-06,0.5294117647058824,0.55,split2
29,1e-06,1.0,0.8636363636363636,split2
30,1e-06,0.2666666666666667,0.25,split2
31,1e-06,0.5010775862068966,0.6336112329969285,split2
32,1e-06,0.5673930589184827,0.6257416267942584,split2
33,1e-06,0.6282051282051283,0.5062934027777778,split2
34,1e-06,0.4766201804757999,0.6465503693226466,split2
35,1e-06,0.5625,0.49600082034454474,split2
36,1e-06,0.6388888888888888,0.7391304347826086,split2
