assay,best_C,val_auc,test_auc,split,N_labels_test
67,1e-06,1.0,0.9565217391304347,split1,50
68,1e-06,0.9230769230769231,0.9609756097560976,split1,46
69,1e-06,0.9615384615384616,0.9627329192546584,split1,53
70,1e-06,1.0,0.968944099378882,split1,53
71,1e-06,1.0,0.9591836734693877,split1,53
72,1e-06,1.0,0.8181818181818181,split1,16
73,1e-06,1.0,1.0,split1,44
74,1e-06,0.9583333333333333,0.9373219373219374,split1,48
75,1e-06,1.0,0.925531914893617,split1,51
76,1e-06,0.9743589743589745,0.9638888888888889,split1,53
77,1e-06,1.0,0.9587301587301588,split1,52
78,1e-06,1.0,0.9444444444444444,split1,51
79,1e-06,1.0,0.9610389610389611,split1,51
80,1e-06,1.0,0.725,split1,14
81,1e-06,1.0,0.9521739130434783,split1,51
82,1e-06,0.9761904761904763,0.9602272727272727,split1,52
83,1e-06,0.8809523809523809,0.9466666666666667,split1,50
84,1e-06,1.0,0.9659863945578231,split1,49
85,1e-06,0.8666666666666666,0.9675925925925926,split1,42
86,1e-06,0.9545454545454545,0.9531914893617022,split1,52
87,1e-06,0.9743589743589745,0.9645390070921986,split1,53
88,1e-06,0.9743589743589745,0.9454545454545454,split1,49
89,1e-06,0.8809523809523809,0.9261363636363636,split1,48
90,1e-06,0.9423076923076923,0.9555555555555556,split1,52
91,1e-06,1.0,0.9545454545454546,split1,52
92,1e-06,1.0,0.9583333333333334,split1,52
93,1e-06,0.9615384615384616,0.8958333333333334,split1,52
94,1e-06,0.9500000000000001,0.9459459459459458,split1,45
95,1e-06,1.0,0.9817073170731707,split1,45
96,1e-06,0.9166666666666667,0.8181818181818181,split1,16
97,1e-06,1.0,0.8611111111111112,split1,13
98,1e-06,1.0,0.9555555555555555,split1,50
99,1e-06,0.7916666666666666,0.98,split1,45
100,1e-06,0.9761904761904763,0.963768115942029,split1,52
101,1e-06,0.9375,0.922077922077922,split1,51
102,1e-06,1.0,0.8409090909090909,split1,50
103,1e-06,1.0,0.9780219780219781,split1,46
104,1e-06,1.0,0.9468085106382979,split1,53
105,1e-06,0.9615384615384616,0.9541666666666666,split1,53
106,1e-06,0.9090909090909092,0.8931623931623931,split1,45
107,1e-06,1.0,0.9541666666666666,split1,53
108,1e-06,1.0,0.9375,split1,51
109,1e-06,0.9642857142857143,0.9629629629629629,split1,51
110,1e-06,1.0,0.8181818181818181,split1,16
111,1e-06,1.0,0.9716312056737589,split1,50
112,1e-06,1.0,0.9377777777777778,split1,50
113,1e-06,0.9666666666666667,0.9645390070921986,split1,50
114,1e-06,0.9375,0.9523809523809524,split1,46
115,1e-06,0.9166666666666667,0.9583333333333333,split1,53
116,1e-06,1.0,0.0,split1,4
117,1e-06,0.19999999999999996,0.7916666666666666,split1,11
118,1e-06,1.0,0.5833333333333333,split1,8
120,1e-06,1.0,0.0,split1,4
121,1e-06,0.8,0.75,split1,4
123,1e-06,1.0,1.0,split1,4
124,1e-06,0.5,0.17307692307692304,split1,17
125,1e-06,0.5,0.5833333333333334,split1,14
126,1e-06,0.33333333333333337,0.6888888888888889,split1,14
127,1.0,0.5833333333333334,0.8214285714285714,split1,16
129,1e-06,0.125,0.19999999999999996,split1,11
130,10.0,0.75,0.19999999999999996,split1,11
131,1e-06,0.9375,0.8181818181818181,split1,14
132,1e-06,0.6666666666666666,0.8571428571428571,split1,8
133,10.0,0.875,0.4,split1,8
134,1e-06,1.0,1.0,split1,8
136,1.0,1.0,1.0,split1,8
137,1e-06,1.0,0.9,split1,9
138,1e-06,1.0,0.6875,split1,8
139,1e-06,1.0,0.8,split1,9
140,1e-06,0.6666666666666667,1.0,split1,9
141,10.0,1.0,1.0,split1,9
142,1e-06,1.0,0.7,split1,11
143,0.1,0.8333333333333333,0.7,split1,9
144,10000.0,0.6666666666666667,0.8,split1,9
145,1e-06,1.0,1.0,split1,8
146,1e-06,1.0,1.0,split1,8
147,100.0,0.8232142857142858,0.7876602564102564,split1,172
148,1.0,0.9166666666666666,0.6153846153846153,split1,17
149,1.0,0.625,1.0,split1,9
150,1e-06,0.5874999999999999,0.48263888888888895,split1,34
152,1e-06,0.6666666666666667,0.5714285714285714,split1,17
154,1e-06,0.9540816326530612,0.9081632653061225,split1,77
155,0.0001,0.5831730769230768,0.5651211007445104,split1,343
156,1.0,0.5,0.6733333333333332,split1,25
157,0.01,0.6240079365079366,0.5721380981223501,split1,192
158,0.1,0.5756302521008403,0.4444444444444445,split1,86
159,0.01,0.5454545454545454,0.5978152929493545,split1,72
160,1e-06,0.75,1.0,split1,14
161,0.01,0.6285676357360945,0.6878206724782068,split1,530
162,0.1,0.5525956284153006,0.5927601809954751,split1,381
163,0.01,0.640295358649789,0.6251666222340709,split1,374
