assay,best_C,val_auc,test_auc,split
108,1e-06,0.8888888888888888,0.5520833333333333,split1
111,1e-06,0.9090909090909091,0.7424242424242424,split1
112,1e-06,0.9090909090909091,0.41129032258064513,split1
114,10.0,0.2222222222222222,0.7586206896551724,split1
115,1e-06,0.9090909090909091,0.5591397849462365,split1
117,1e-06,0.5,0.7777777777777778,split1
119,1e-06,0.6,0.5428571428571428,split1
121,1e-06,0.5,0.8,split1
124,100000.0,0.7142857142857143,0.5625,split1
125,1e-06,1.0,0.35714285714285715,split1
126,10.0,1.0,0.5,split1
127,100.0,0.5238095238095238,0.48,split1
128,10.0,0.5,0.3333333333333333,split1
129,100.0,0.8,0.1428571428571429,split1
130,10.0,0.875,0.5625,split1
131,1e-06,0.33333333333333337,0.4285714285714286,split1
132,100.0,0.5,0.5833333333333334,split1
133,1e-06,0.3333333333333333,0.36,split1
134,1e-06,0.75,0.0,split1
135,1e-06,1.0,0.0,split1
136,0.1,1.0,0.0,split1
137,100.0,0.22222222222222224,0.75,split1
138,1.0,0.6666666666666667,0.6666666666666666,split1
139,1000.0,0.6,0.375,split1
140,1000.0,0.22222222222222224,1.0,split1
141,100.0,0.16666666666666666,0.6666666666666667,split1
142,1000.0,0.8333333333333333,0.8333333333333334,split1
143,10000.0,0.5,0.75,split1
144,1.0,0.6666666666666666,0.11111111111111112,split1
145,1e-06,0.75,0.0,split1
146,1e-06,0.75,0.0,split1
147,0.01,0.5624691358024692,0.4635989010989011,split1
148,1e-06,0.5714285714285714,0.5833333333333333,split1
149,1e-06,1.0,0.8,split1
150,1e-06,0.35000000000000003,0.3382352941176471,split1
152,1.0,1.0,0.5,split1
153,1e-06,0.75,0.5,split1
154,10.0,0.37142857142857144,0.42795513373597927,split1
155,1e-05,0.5162768266216543,0.5070683435702447,split1
156,100.0,0.375,0.7083333333333334,split1
157,10000.0,0.5393162393162393,0.4240053050397877,split1
158,100.0,0.5714285714285714,0.31140350877192985,split1
159,10.0,0.4722222222222222,0.5538194444444444,split1
160,1e-06,0.8125,0.7142857142857143,split1
161,1e-06,0.5313440860215054,0.4563620419487931,split1
162,1e-06,0.4820441988950277,0.5365013774104684,split1
163,0.0001,0.6256011838697744,0.4766548463356973,split1
164,1e-06,0.4642857142857143,0.38636363636363635,split1
165,0.001,0.48863636363636365,0.5343119266055046,split1
166,1.0,0.3877551020408163,0.5096153846153846,split1
167,10.0,0.5,0.5,split1
168,1e-06,0.731290808638875,0.4526734104046243,split1
169,1e-06,0.9,0.6,split1
170,10.0,0.25,0.5666666666666667,split1
171,0.1,0.5258966902091122,0.47565990184374585,split1
172,1e-06,0.5206349206349207,0.4715487382483919,split1
173,1000.0,0.16666666666666669,0.5333333333333332,split1
174,10.0,0.6666666666666667,0.55,split1
175,1e-06,0.33333333333333337,0.6071428571428572,split1
176,10.0,0.6578947368421053,0.6344660194174757,split1
177,100.0,0.8529411764705882,0.5043478260869565,split1
178,0.001,0.6186186186186187,0.424484052532833,split1
179,1e-06,0.13235294117647062,0.4000000000000001,split1
180,100.0,0.2777777777777778,0.512753774076002,split1
181,1e-06,1.0,0.0,split1
182,1e-06,0.5791881074899943,0.6164222873900294,split1
183,100.0,0.5580357142857143,0.4997511199601792,split1
184,1.0,0.47389830508474584,0.5138795986622073,split1
185,1e-06,0.59375,0.5925925925925927,split1
186,1.0,0.6388888888888888,0.5612745098039215,split1
188,10000.0,0.5,0.3333333333333333,split1
189,1e-06,0.4464285714285714,0.3206349206349206,split1
190,1e-06,0.3333333333333333,0.7142857142857142,split1
192,10.0,0.7551789077212807,0.4180478821362799,split1
193,1e-06,0.4473684210526315,0.6044444444444445,split1
195,1e-06,1.0,0.7500000000000001,split1
196,1.0,0.5333333333333334,0.48026315789473684,split1
197,10.0,0.3125,0.5,split1
198,10.0,0.675,0.2831578947368421,split1
199,1e-06,0.4444444444444445,0.6337448559670782,split1
201,1.0,0.95,0.26373626373626374,split1
202,1e-06,0.56,0.5526315789473685,split1
203,10.0,0.6238636363636364,0.5510344827586207,split1
204,1e-06,0.33333333333333337,0.7272727272727273,split1
205,1000.0,0.5128205128205129,0.5878378378378379,split1
206,1e-06,0.75,0.5833333333333334,split1
208,1e-06,0.6190476190476191,0.5909090909090909,split1
209,0.001,0.5558626135017766,0.5451362840710178,split1
1,10.0,0.6176470588235294,0.6521739130434783,split2
2,1e-06,0.8,0.6476190476190475,split2
4,1e-06,0.4,0.4479166666666667,split2
5,100.0,0.6666666666666666,0.5636363636363637,split2
6,1e-06,0.5,0.5512820512820511,split2
10,10000.0,0.7857142857142857,0.5441176470588235,split2
11,1.0,0.6842105263157896,0.42567567567567566,split2
12,1000.0,0.4866071428571429,0.5542986425339367,split2
13,1e-06,1.0,1.0,split2
14,1000.0,1.0,0.7142857142857143,split2
