assay,best_C,val_auc,test_auc,split
70,1e-06,1.0,0.984472049689441,split1
71,1e-06,1.0,0.9897959183673469,split1
72,1e-06,1.0,0.9454545454545454,split1
73,1e-06,1.0,1.0,split1
74,1e-06,0.9166666666666666,0.9487179487179487,split1
75,1e-06,0.8666666666666667,0.8085106382978724,split1
76,1e-06,1.0,0.9805555555555556,split1
77,1e-06,1.0,0.9777777777777777,split1
78,1e-06,1.0,0.9740740740740741,split1
79,1e-06,1.0,0.9805194805194806,split1
80,1e-06,1.0,1.0,split1
81,1e-06,1.0,0.9826086956521739,split1
82,1e-06,1.0,0.9801136363636364,split1
83,1.0,0.8571428571428571,0.9866666666666666,split1
84,1e-06,1.0,0.9863945578231292,split1
85,1e-06,0.8333333333333333,0.9722222222222222,split1
86,1e-06,0.9318181818181819,0.9914893617021278,split1
87,1e-06,1.0,0.975177304964539,split1
88,1e-06,1.0,0.9818181818181818,split1
89,1e-06,0.8333333333333333,0.9488636363636364,split1
90,1e-06,0.9423076923076923,0.9777777777777779,split1
91,1e-06,1.0,0.9886363636363636,split1
92,1e-06,1.0,0.9895833333333334,split1
93,1e-06,0.9423076923076923,0.984375,split1
94,1e-06,0.9249999999999999,0.9763513513513513,split1
95,1e-06,1.0,0.9878048780487805,split1
96,1e-06,0.8333333333333334,0.9636363636363636,split1
97,1e-06,1.0,0.9444444444444444,split1
98,1e-06,1.0,0.9866666666666667,split1
99,1e-06,0.6666666666666667,0.98,split1
100,1e-06,1.0,0.9746376811594203,split1
101,1e-06,0.9166666666666667,0.9837662337662338,split1
102,1e-06,1.0,0.8825757575757576,split1
103,1e-06,1.0,0.9853479853479853,split1
104,1e-06,1.0,0.9716312056737588,split1
105,1e-06,0.9423076923076923,0.9958333333333333,split1
106,1e-06,0.9090909090909091,0.8931623931623932,split1
107,1e-06,1.0,0.9833333333333334,split1
108,1e-06,1.0,0.9722222222222222,split1
109,1e-06,0.9285714285714286,1.0,split1
110,1e-06,1.0,0.9636363636363636,split1
111,1e-06,1.0,1.0,split1
112,1e-06,1.0,0.9688888888888888,split1
113,1e-06,0.9333333333333333,1.0,split1
114,1e-06,0.9375,0.9821428571428572,split1
115,1e-06,0.8958333333333333,0.9875,split1
117,1e-06,0.4,0.9166666666666666,split1
118,1e-06,1.0,0.5833333333333333,split1
119,1e-06,0.5,0.6714285714285714,split1
120,1e-06,1.0,0.0,split1
121,1e-06,0.8,1.0,split1
123,1e-06,1.0,0.75,split1
124,1e-06,1.0,0.34615384615384615,split1
125,1e-06,0.5,0.625,split1
126,1e-06,0.33333333333333337,0.8,split1
127,1e-06,0.41666666666666663,0.5,split1
129,1e-06,0.125,0.19999999999999996,split1
130,1.0,0.625,0.30000000000000004,split1
131,10.0,1.0,0.8787878787878788,split1
132,1e-06,0.5333333333333333,0.2857142857142857,split1
133,1e-06,0.8125,0.4,split1
134,1e-06,1.0,1.0,split1
137,1e-06,1.0,0.6,split1
138,1e-06,1.0,0.6875,split1
139,1e-06,1.0,0.55,split1
140,1e-06,0.16666666666666669,0.85,split1
141,1e-06,0.5,0.65,split1
142,1e-06,1.0,0.6333333333333333,split1
143,1e-06,0.8333333333333333,0.4,split1
144,1e-06,0.5,0.7,split1
145,1e-06,1.0,1.0,split1
